Date,TIP
2003-12-05,50.177085876464844
2003-12-08,50.13275909423828
2003-12-09,50.004661560058594
2003-12-10,50.1376953125
2003-12-11,50.33475875854492
2003-12-12,50.29533767700195
2003-12-15,50.18695068359375
2003-12-16,50.13275909423828
2003-12-17,50.11796188354492
2003-12-18,50.33475875854492
2003-12-19,50.310123443603516
2003-12-22,50.25595474243164
2003-12-23,50.004661560058594
2003-12-24,50.285499572753906
2003-12-26,50.374141693115234
2003-12-29,50.22634506225586
2003-12-30,50.09334182739258
2003-12-31,50.1658821105957
2004-01-02,50.057376861572266
2004-01-05,49.98830795288086
2004-01-06,50.30890655517578
2004-01-07,50.34832763671875
2004-01-08,50.15598678588867
2004-01-09,50.53578186035156
2004-01-12,50.496315002441406
2004-01-13,50.74289321899414
2004-01-14,50.75281524658203
2004-01-15,50.81690216064453
2004-01-16,50.84158706665039
2004-01-20,50.797203063964844
2004-01-21,51.004329681396484
2004-01-22,51.08818817138672
2004-01-23,50.7281494140625
2004-01-26,50.54073715209961
2004-01-27,50.74289321899414
2004-01-28,50.53578186035156
2004-01-29,50.51109313964844
2004-01-30,50.777469635009766
2004-02-02,50.866214752197266
2004-02-03,50.95993423461914
2004-02-04,50.95993423461914
2004-02-05,50.80704116821289
2004-02-06,51.01420593261719
2004-02-09,51.11775207519531
2004-02-10,50.97968673706055
2004-02-11,51.18680953979492
2004-02-12,51.04379653930664
2004-02-13,51.438358306884766
2004-02-17,51.18680953979492
2004-02-18,51.196712493896484
2004-02-19,51.21641159057617
2004-02-20,51.073387145996094
2004-02-23,51.23616027832031
2004-02-24,51.34466552734375
2004-02-25,51.477848052978516
2004-02-26,51.57155227661133
2004-02-27,51.867488861083984
2004-03-01,52.16834259033203
2004-03-02,52.00065994262695
2004-03-03,51.96120834350586
2004-03-04,51.97599411010742
2004-03-05,52.469215393066406
2004-03-08,52.646766662597656
2004-03-09,52.81447219848633
2004-03-10,52.646766662597656
2004-03-11,52.51361083984375
2004-03-12,52.429752349853516
2004-03-15,52.553062438964844
2004-03-16,52.84897994995117
2004-03-17,53.06602096557617
2004-03-18,52.97722625732422
2004-03-19,52.69609451293945
2004-03-22,52.8243293762207
2004-03-23,52.90324783325195
2004-03-24,53.041378021240234
2004-03-25,52.96735763549805
2004-03-26,52.7404899597168
2004-03-29,52.567840576171875
2004-03-30,52.59251403808594
2004-03-31,52.73062515258789
2004-04-01,52.71080017089844
2004-04-02,51.94254684448242
2004-04-05,51.65510940551758
2004-04-06,51.734405517578125
2004-04-07,51.42709732055664
2004-04-08,51.466758728027344
2004-04-12,51.466758728027344
2004-04-13,51.1990966796875
2004-04-14,51.06529235839844
2004-04-15,50.951297760009766
2004-04-16,51.263580322265625
2004-04-19,51.263580322265625
2004-04-20,50.86703109741211
2004-04-21,50.86703109741211
2004-04-22,50.8026008605957
2004-04-23,50.287139892578125
2004-04-26,50.5300407409668
2004-04-27,50.70841979980469
2004-04-28,50.27723693847656
2004-04-29,50.00956344604492
2004-04-30,50.188018798828125
2004-05-03,50.204933166503906
2004-05-04,50.2298469543457
2004-05-05,50.2099609375
2004-05-06,50.03053283691406
2004-05-07,49.756473541259766
2004-05-10,49.72159194946289
2004-05-11,49.94086456298828
2004-05-12,50.01061248779297
2004-05-13,50.12025833129883
2004-05-14,50.24482345581055
2004-05-17,50.62355422973633
2004-05-18,50.708213806152344
2004-05-19,50.80295944213867
2004-05-20,51.0471076965332
2004-05-21,50.76804733276367
2004-05-24,50.952423095703125
2004-05-25,50.8975830078125
2004-05-26,51.091949462890625
2004-05-27,51.25141143798828
2004-05-28,51.2015495300293
2004-06-01,51.254798889160156
2004-06-02,50.99391174316406
2004-06-03,50.863441467285156
2004-06-04,50.74305725097656
2004-06-07,50.78818893432617
2004-06-08,50.56247329711914
2004-06-09,50.41698455810547
2004-06-10,50.472164154052734
2004-06-14,50.25142288208008
2004-06-15,50.68283462524414
2004-06-16,50.64775085449219
2004-06-17,50.74305725097656
2004-06-18,50.81832504272461
2004-06-21,50.88850784301758
2004-06-22,50.79824447631836
2004-06-23,50.81832504272461
2004-06-24,50.86847686767578
2004-06-25,50.838375091552734
2004-06-28,50.487186431884766
2004-06-29,50.67781448364258
2004-06-30,51.12931442260742
2004-07-01,51.37718200683594
2004-07-02,51.8405647277832
2004-07-06,51.70454025268555
2004-07-07,51.60380172729492
2004-07-08,51.62898254394531
2004-07-09,51.58370590209961
2004-07-12,51.52323913574219
2004-07-13,51.44766616821289
2004-07-14,51.44766616821289
2004-07-15,51.55344772338867
2004-07-16,51.80529022216797
2004-07-19,51.78013610839844
2004-07-20,51.40735626220703
2004-07-21,51.46780014038086
2004-07-22,51.5030632019043
2004-07-23,51.618927001953125
2004-07-26,51.44766616821289
2004-07-27,50.96413040161133
2004-07-28,51.12029266357422
2004-07-29,51.26130676269531
2004-07-30,51.54338073730469
2004-08-02,51.599090576171875
2004-08-03,51.70541763305664
2004-08-04,51.67503356933594
2004-08-05,51.83201217651367
2004-08-06,52.38395309448242
2004-08-09,52.353580474853516
2004-08-10,52.151039123535156
2004-08-11,52.35865783691406
2004-08-12,52.657405853271484
2004-08-13,52.859947204589844
2004-08-16,52.596588134765625
2004-08-17,52.652320861816406
2004-08-18,52.444740295410156
2004-08-19,52.763729095458984
2004-08-20,52.70299530029297
2004-08-23,52.47001647949219
2004-08-24,52.37382888793945
2004-08-25,52.378902435302734
2004-08-26,52.464969635009766
2004-08-27,52.49028015136719
2004-08-30,52.621944427490234
2004-08-31,52.93083190917969
2004-09-01,52.939002990722656
